name;TIPOLOGIA;OID_;PARK_ID;area;Centroid_X;Centroid_Y;Perimeter;id;long;lat
Cemitério da Ajuda;Cemitério;0;0;49818.0500000000;-9.2000000000;38.7100000000;992.4860000000;Lx187;-9.2039890587;38.7086696107
Cemitério dos Olivais;Cemitério;0;0;43492.0300000000;-9.1100000000;38.7600000000;1096.0600000000;Lx188;-9.1079007024;38.7645872111
Jardim Maria de Lourdes Sá Teixeira;;0;0;6604.2100000000;-9.1200000000;38.7700000000;408.1950000000;Lx001;-9.1230802975;38.7674578828
Jardim Maria da Luz Ponces de Carvalho;;0;0;4678.2200000000;-9.1500000000;38.7800000000;559.3450000000;Lx002;-9.1503745360;38.7797416638
Parque Vale Grande - Parque Oeste;;1;2;216109.7200000000;-9.1500000000;38.7800000000;4103.0600000000;Lx029;-9.1533108092;38.7801899788
Parque do Vale Fundão;;2;3;67245.1200000000;-9.1100000000;38.7500000000;1895.3100000000;Lx030;-9.1091484551;38.7515657501
Jardim da Alameda Roentgen;;3;4;14791.7900000000;-9.1800000000;38.7600000000;1126.1900000000;Lx031;-9.1777234762;38.7614825724
Jardim Pulido Garcia;;0;0;1697.2700000000;-9.2100000000;38.7100000000;178.8170000000;Lx003;-9.2075994131;38.7067160073
Jardim Professor Francisco Caldeira Cabral;;4;6;10163.9200000000;-9.1700000000;38.7600000000;1101.5200000000;Lx032;-9.1652609263;38.7598604312
Jardim Professor Francisco Caldeira Cabral;;4;6;10163.9200000000;-9.1700000000;38.7600000000;1101.5200000000;Lx032;-9.1661880172;38.7600126512
Jardim Professor Francisco Caldeira Cabral;;4;6;10163.9200000000;-9.1700000000;38.7600000000;1101.5200000000;Lx032;-9.1655755344;38.7603601193
Jardim Professor Francisco Caldeira Cabral;;4;6;10163.9200000000;-9.1700000000;38.7600000000;1101.5200000000;Lx032;-9.1651889359;38.7603379491
Jardim Professor Francisco Caldeira Cabral;;4;6;10163.9200000000;-9.1700000000;38.7600000000;1101.5200000000;Lx032;-9.1655468571;38.7605638068
Jardim Professor Francisco Caldeira Cabral;;4;6;10163.9200000000;-9.1700000000;38.7600000000;1101.5200000000;Lx032;-9.1653342856;38.7605752293
Jardim Professor Francisco Caldeira Cabral;;4;6;10163.9200000000;-9.1700000000;38.7600000000;1101.5200000000;Lx032;-9.1651101161;38.7605709404
Jardim Professor Francisco Caldeira Cabral;;4;6;10163.9200000000;-9.1700000000;38.7600000000;1101.5200000000;Lx032;-9.1661792938;38.7605483936
Jardim de Santa Clara - Quinta de Santa Clara;Espaços Verdes Vizinhança;5;7;15356.5400000000;-9.1600000000;38.7800000000;512.6200000000;Lx033;-9.1615619923;38.7801755135
Jardim Zoológico;;6;8;233648.2600000000;-9.1700000000;38.7400000000;3001.0300000000;Lx034;-9.1716346537;38.7449928860
Jardim Zoológico;;6;8;233648.2600000000;-9.1700000000;38.7400000000;3001.0300000000;Lx034;-9.1698107552;38.7460183226
Viveiro da Quinta Conde Arcos;Viveiro;0;0;91578.9900000000;-9.1100000000;38.7700000000;1511.1800000000;Lx004;-9.1086627730;38.7732750993
Jardim da Rua Inocêncio Francisco da Silva;;7;10;4232.7900000000;-9.1800000000;38.7600000000;322.8820000000;Lx035;-9.1785315497;38.7561922200
Jardim Braamcamp Freire - Jardim do Campo Santana;;8;11;20085.3100000000;-9.1400000000;38.7200000000;1018.8800000000;Lx036;-9.1399915369;38.7213952284
Jardim Braamcamp Freire - Jardim do Campo Santana;;8;11;20085.3100000000;-9.1400000000;38.7200000000;1018.8800000000;Lx036;-9.1398569165;38.7226802680
Jardim Braamcamp Freire - Jardim do Campo Santana;;8;11;20085.3100000000;-9.1400000000;38.7200000000;1018.8800000000;Lx036;-9.1394892574;38.7207202943
